{ _tpgavdet   // Detalhe Tipo Gaveta
   *AZZERA*            =0
   DESCRIZIONE         =Detalhe Tipo Gaveta
   ALIAS               =
   OBBLIGATO           =False
   CLASSE              =
   MEMO                =1Código 1800Descrição 5250dima 1200dimp 1620des.Lat.Esq 2160des.Lat.Dir 1995L.Desenho Lat 1590cor laterais 1350desc.Lateral.Fundo 2070desc.Prof.Fundo 1965pos.Prof.Fundo 2370desc.Lat.Traseira 1920Altura Traseira 2220Pos.Alt.Traseira 2205Esp.Fundo 2280Esp.Traseira 1200Desesnho.Fre.Int 2115Cod.Fre.Int 3885Alt.Fre.Int. 1995Pos.Alt.Fre.Int. 1620Desc.Larg.Fre.Int 2115L.Minima permitida 1200L.Max Permitida 1200A.Vao Minimo 1200A.vao Maximo 1200DESENHO ADICIONAL 2415DESC DES ADD 2040P DES ADD 2115A DES ADD 1755PROF.fre.int 1980CORRETOR POS LATERAIS (SO GRAFICA) 4080posp traseira 1995pos des add a 1755par des add 1560desconto lateral para interno 3075desconto profondidade para interno 3705metaboxinterna 1845codigo da coluna 1 para formafacil 3570Coluna 37 - se 1, aplica 2 suportes frontais para a frente interna
   { 
      //            ,Descrição                             ,dima,dimp,des.Lat.Esq                      ,des.Lat.Dir                      ,L.D,cor laterais  ,desc.,des,pos,desc.,Altu,Pos.,Esp,Esp,D,C,Alt.,Pos.,Desc,L.,L.Max,A.,A.vao,D,D,P,A,PRO,CORRE,posp,p,p,des,des,m,codigo da colu
      GV-004_IAM270 ,METABOX INTERNA ALTA PROF.270         ,206 ,270 ,lat_esq_metabox_alta.3ds         ,lat_dir_metabox_alta.3ds         ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,206 ,1.5 ,15 ,15 , , ,230 ,-15 ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,-2.5 ,2   , , ,31 ,50 , ,GV-004_IAM270
      GV-004_IAM350 ,METABOX INTERNA ALTA PROF.350         ,206 ,350 ,lat_esq_metabox_alta.3ds         ,lat_dir_metabox_alta.3ds         ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,206 ,1.5 ,15 ,15 , , ,230 ,-15 ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,-2.5 ,2   , , ,31 ,50 , ,GV-004_IAM350
      GV-004_IAM400 ,METABOX INTERNA ALTA PROF.400         ,206 ,400 ,lat_esq_metabox_alta.3ds         ,lat_dir_metabox_alta.3ds         ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,206 ,1.5 ,15 ,15 , , ,230 ,-15 ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,-2.5 ,2   , , ,31 ,50 , ,GV-004_IAM400
      GV-004_IAM450 ,METABOX INTERNA ALTA PROF.450         ,206 ,450 ,lat_esq_metabox_alta.3ds         ,lat_dir_metabox_alta.3ds         ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,206 ,1.5 ,15 ,15 , , ,230 ,-15 ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,-2.5 ,2   , , ,31 ,50 , ,GV-004_IAM450
      GV-004_IAM500 ,METABOX INTERNA ALTA PROF.500         ,206 ,500 ,lat_esq_metabox_alta.3ds         ,lat_dir_metabox_alta.3ds         ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,206 ,1.5 ,15 ,15 , , ,230 ,-15 ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,-2.5 ,2   , , ,31 ,50 , ,GV-004_IAM500
      GV-004_IBM270 ,METABOX INTERNA BAIXA PROF.270        ,95  ,270 ,lat_esq_metabox_baixa.3ds        ,lat_dir_metabox_baixa.3ds        ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,86  ,1.5 ,15 ,15 , , ,108 ,-15 ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,-2.5 ,2   , , ,31 ,50 , ,GV-004_IBM270
      GV-004_IBM350 ,METABOX INTERNA BAIXA PROF.350        ,95  ,350 ,lat_esq_metabox_baixa.3ds        ,lat_dir_metabox_baixa.3ds        ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,86  ,1.5 ,15 ,15 , , ,108 ,-15 ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,-2.5 ,2   , , ,31 ,50 , ,GV-004_IBM350
      GV-004_IBM400 ,METABOX INTERNA BAIXA PROF.400        ,95  ,400 ,lat_esq_metabox_baixa.3ds        ,lat_dir_metabox_baixa.3ds        ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,86  ,1.5 ,15 ,15 , , ,108 ,-15 ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,-2.5 ,2   , , ,31 ,50 , ,GV-004_IBM400
      GV-004_IBM450 ,METABOX INTERNA BAIXA PROF.450        ,95  ,450 ,lat_esq_metabox_baixa.3ds        ,lat_dir_metabox_baixa.3ds        ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,86  ,1.5 ,15 ,15 , , ,108 ,-15 ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,-2.5 ,2   , , ,31 ,50 , ,GV-004_IBM450
      GV-004_IBM500 ,METABOX INTERNA BAIXA PROF.500        ,95  ,500 ,lat_esq_metabox_baixa.3ds        ,lat_dir_metabox_baixa.3ds        ,24 ,$(_corblum:3) ,8    ,17 ,17 ,8    ,86  ,1.5 ,15 ,15 , , ,108 ,-15 ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,-2.5 ,2   , , ,31 ,50 , ,GV-004_IBM500
      GV-005_CA400  ,LEGRABOX CUBA ALTA PROF.400           ,250 ,400 ,lat_esq_legrabox_alta.3ds        ,lat_dir_legrabox_alta.3ds        ,65 ,$(_corblum:3) ,10.5 ,10 ,10 ,12   ,212 ,25  ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,     ,4   , , ,15 ,20 , ,GV-005_CA400
      GV-005_CA450  ,LEGRABOX CUBA ALTA PROF.450           ,250 ,450 ,lat_esq_legrabox_alta.3ds        ,lat_dir_legrabox_alta.3ds        ,65 ,$(_corblum:3) ,10.5 ,10 ,10 ,12   ,212 ,25  ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,     ,4   , , ,15 ,20 , ,GV-005_CA450
      GV-005_CA500  ,LEGRABOX CUBA ALTA PROF.500           ,250 ,500 ,lat_esq_legrabox_alta.3ds        ,lat_dir_legrabox_alta.3ds        ,65 ,$(_corblum:3) ,10.5 ,10 ,10 ,12   ,212 ,25  ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,     ,4   , , ,15 ,20 , ,GV-005_CA500
      GV-005_CAI400 ,LEGRABOX CUBA ALTA INTERNA PROF.400   ,250 ,400 ,lat_esq_legrabox_alta.3ds        ,lat_dir_legrabox_alta.3ds        ,65 ,$(_corblum:3) ,10.5 ,10 ,10 ,12   ,212 ,25  ,15 ,15 , , ,225 ,0   ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,     ,4   , , ,15 ,20 , ,GV-005_CAI400
      GV-005_CAI450 ,LEGRABOX CUBA ALTA INTERNA PROF.450   ,250 ,450 ,lat_esq_legrabox_alta.3ds        ,lat_dir_legrabox_alta.3ds        ,65 ,$(_corblum:3) ,10.5 ,10 ,10 ,12   ,212 ,25  ,15 ,15 , , ,225 ,0   ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,     ,4   , , ,15 ,20 , ,GV-005_CAI450
      GV-005_CAI500 ,LEGRABOX CUBA ALTA INTERNA PROF.500   ,250 ,500 ,lat_esq_legrabox_alta.3ds        ,lat_dir_legrabox_alta.3ds        ,65 ,$(_corblum:3) ,10.5 ,10 ,10 ,12   ,212 ,25  ,15 ,15 , , ,225 ,0   ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,     ,4   , , ,15 ,20 , ,GV-005_CAI500
      GV-005_CB400  ,LEGRABOX CUBA BAIXA PROF.400          ,91  ,400 ,lat_esq_legrabox_baixa.3ds       ,lat_dir_legrabox_baixa.3ds       ,65 ,$(_corblum:3) ,10.5 ,10 ,10 ,12   ,78  ,14  ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,     ,4   , , ,15 ,20 , ,GV-005_CB400
      GV-005_CB450  ,LEGRABOX CUBA BAIXA PROF.450          ,91  ,450 ,lat_esq_legrabox_baixa.3ds       ,lat_dir_legrabox_baixa.3ds       ,65 ,$(_corblum:3) ,10.5 ,10 ,10 ,12   ,78  ,14  ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,     ,4   , , ,15 ,20 , ,GV-005_CB450
      GV-005_CB500  ,LEGRABOX CUBA BAIXA PROF.500          ,91  ,500 ,lat_esq_legrabox_baixa.3ds       ,lat_dir_legrabox_baixa.3ds       ,65 ,$(_corblum:3) ,10.5 ,10 ,10 ,12   ,78  ,14  ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,     ,4   , , ,15 ,20 , ,GV-005_CB500
      GV-005_CBI400 ,LEGRABOX CUBA BAIXA INTERNA PROF.400  ,91  ,400 ,lat_esq_legrabox_baixa.3ds       ,lat_dir_legrabox_baixa.3ds       ,65 ,$(_corblum:3) ,10.5 ,10 ,10 ,12   ,78  ,14  ,15 ,15 , , ,108 ,0   ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,     ,4   , , ,15 ,20 , ,GV-005_CBI400
      GV-005_CBI450 ,LEGRABOX CUBA BAIXA INTERNA PROF.450  ,91  ,450 ,lat_esq_legrabox_baixa.3ds       ,lat_dir_legrabox_baixa.3ds       ,65 ,$(_corblum:3) ,10.5 ,10 ,10 ,12   ,78  ,14  ,15 ,15 , , ,108 ,0   ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,     ,4   , , ,15 ,20 , ,GV-005_CBI450
      GV-005_CBI500 ,LEGRABOX CUBA BAIXA INTERNA PROF.500  ,91  ,500 ,lat_esq_legrabox_baixa.3ds       ,lat_dir_legrabox_baixa.3ds       ,65 ,$(_corblum:3) ,10.5 ,10 ,10 ,12   ,78  ,14  ,15 ,15 , , ,108 ,0   ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,     ,4   , , ,15 ,20 , ,GV-005_CBI500
      GV-005_EA400  ,LEGRABOX EXTERNA ALTA PROF.400        ,250 ,400 ,lat_esq_legrabox_alta.3ds        ,lat_dir_legrabox_alta.3ds        ,65 ,$(_corblum:3) ,10.5 ,10 ,10 ,12   ,212 ,25  ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,     ,4   , , ,15 ,20 , ,GV-005_EA400
      GV-005_EA450  ,LEGRABOX EXTERNA ALTA PROF.450        ,250 ,450 ,lat_esq_legrabox_alta.3ds        ,lat_dir_legrabox_alta.3ds        ,65 ,$(_corblum:3) ,10.5 ,10 ,10 ,12   ,212 ,25  ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,     ,4   , , ,15 ,20 , ,GV-005_EA450
      GV-005_EA500  ,LEGRABOX EXTERNA ALTA PROF.500        ,250 ,500 ,lat_esq_legrabox_alta.3ds        ,lat_dir_legrabox_alta.3ds        ,65 ,$(_corblum:3) ,10.5 ,10 ,10 ,12   ,212 ,25  ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,     ,4   , , ,15 ,20 , ,GV-005_EA500
      GV-005_EB400  ,LEGRABOX EXTERNA BAIXA PROF.400       ,90  ,400 ,lat_esq_legrabox_baixa.3ds       ,lat_dir_legrabox_baixa.3ds       ,65 ,$(_corblum:3) ,10.5 ,10 ,10 ,12   ,63  ,14  ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,     ,4   , , ,15 ,20 , ,GV-005_EB400
      GV-005_EB450  ,LEGRABOX EXTERNA BAIXA PROF.450       ,90  ,450 ,lat_esq_legrabox_baixa.3ds       ,lat_dir_legrabox_baixa.3ds       ,65 ,$(_corblum:3) ,10.5 ,10 ,10 ,12   ,63  ,14  ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,     ,4   , , ,15 ,20 , ,GV-005_EB450
      GV-005_EB500  ,LEGRABOX EXTERNA BAIXA PROF.500       ,90  ,500 ,lat_esq_legrabox_baixa.3ds       ,lat_dir_legrabox_baixa.3ds       ,65 ,$(_corblum:3) ,10.5 ,10 ,10 ,12   ,63  ,14  ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,     ,4   , , ,15 ,20 , ,GV-005_EB500
      GV-005_IA400  ,LEGRABOX INTERNA ALTA PROF.400        ,250 ,400 ,lat_esq_legrabox_alta.3ds        ,lat_dir_legrabox_alta.3ds        ,65 ,$(_corblum:3) ,10.5 ,10 ,10 ,12   ,212 ,25  ,15 ,15 , , ,255 ,-15 ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,     ,4   , , ,15 ,20 , ,GV-005_IA400
      GV-005_IA450  ,LEGRABOX INTERNA ALTA PROF.450        ,250 ,450 ,lat_esq_legrabox_alta.3ds        ,lat_dir_legrabox_alta.3ds        ,65 ,$(_corblum:3) ,10.5 ,10 ,10 ,12   ,212 ,25  ,15 ,15 , , ,255 ,-15 ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,     ,4   , , ,15 ,20 , ,GV-005_IA450
      GV-005_IA500  ,LEGRABOX INTERNA ALTA PROF.500        ,250 ,500 ,lat_esq_legrabox_alta.3ds        ,lat_dir_legrabox_alta.3ds        ,65 ,$(_corblum:3) ,10.5 ,10 ,10 ,12   ,212 ,25  ,15 ,15 , , ,255 ,-15 ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,     ,4   , , ,15 ,20 , ,GV-005_IA500
      GV-005_IB400  ,LEGRABOX INTERNA BAIXA PROF.400       ,90  ,400 ,lat_esq_legrabox_baixa.3ds       ,lat_dir_legrabox_baixa.3ds       ,65 ,$(_corblum:3) ,10.5 ,10 ,10 ,12   ,63  ,24  ,15 ,15 , , ,108 ,-15 ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,     ,4   , , ,15 ,20 , ,GV-005_IB400
      GV-005_IB450  ,LEGRABOX INTERNA BAIXA PROF.450       ,90  ,450 ,lat_esq_legrabox_baixa.3ds       ,lat_dir_legrabox_baixa.3ds       ,65 ,$(_corblum:3) ,10.5 ,10 ,10 ,12   ,63  ,24  ,15 ,15 , , ,108 ,-15 ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,     ,4   , , ,15 ,20 , ,GV-005_IB450
      GV-005_IB500  ,LEGRABOX INTERNA BAIXA PROF.500       ,90  ,500 ,lat_esq_legrabox_baixa.3ds       ,lat_dir_legrabox_baixa.3ds       ,65 ,$(_corblum:3) ,10.5 ,10 ,10 ,12   ,63  ,24  ,15 ,15 , , ,108 ,-15 ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,     ,4   , , ,15 ,20 , ,GV-005_IB500
      GV-008_CA270  ,TANDEMBOX CUBA ALTA PROF.270          ,210 ,270 ,lat_esq_tandembox_alta.3ds       ,lat_dir_tandembox_alta.3ds       ,48 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,199 ,7   ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-4   ,9.5 , , ,15 ,20 , ,GV-008_CA270
      GV-008_CA350  ,TANDEMBOX CUBA ALTA PROF.350          ,210 ,350 ,lat_esq_tandembox_alta.3ds       ,lat_dir_tandembox_alta.3ds       ,48 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,199 ,7   ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-4   ,9.5 , , ,15 ,20 , ,GV-008_CA350
      GV-008_CAI270 ,TANDEMBOX CUBA ALTA INTERNA PROF.270  ,210 ,270 ,lat_esq_tandembox_alta.3ds       ,lat_dir_tandembox_alta.3ds       ,48 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,199 ,7   ,15 ,15 , , ,225 ,0   ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,-4   ,9.5 , , ,15 ,20 , ,GV-008_CAI270
      GV-008_CAI350 ,TANDEMBOX CUBA ALTA INTERNA PROF.350  ,210 ,350 ,lat_esq_tandembox_alta.3ds       ,lat_dir_tandembox_alta.3ds       ,48 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,199 ,7   ,15 ,15 , , ,225 ,0   ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,-4   ,9.5 , , ,15 ,20 , ,GV-008_CAI350
      GV-008_CB270  ,TANDEMBOX CUBA BAIXA PROF.270         ,91  ,270 ,lat_esq_tandembox_baixa.3ds      ,lat_dir_tandembox_baixa.3ds      ,48 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,84  ,7   ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-4   ,9.5 , , ,15 ,20 , ,GV-008_CB270
      GV-008_CB350  ,TANDEMBOX CUBA BAIXA PROF.350         ,91  ,350 ,lat_esq_tandembox_baixa.3ds      ,lat_dir_tandembox_baixa.3ds      ,48 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,84  ,7   ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-4   ,9.5 , , ,15 ,20 , ,GV-008_CB350
      GV-008_CBI270 ,TANDEMBOX CUBA BAIXA INTERNA PROF.270 ,91  ,270 ,lat_esq_tandembox_baixa.3ds      ,lat_dir_tandembox_baixa.3ds      ,48 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,84  ,7   ,15 ,15 , , ,98  ,0   ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,-4   ,9.5 , , ,15 ,20 , ,GV-008_CBI270
      GV-008_CBI350 ,TANDEMBOX CUBA BAIXA INTERNA PROF.350 ,91  ,350 ,lat_esq_tandembox_baixa.3ds      ,lat_dir_tandembox_baixa.3ds      ,48 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,84  ,7   ,15 ,15 , , ,98  ,0   ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,-4   ,9.5 , , ,15 ,20 , ,GV-008_CBI350
      GV-008_EA270  ,TANDEMBOX EXTERNA ALTA PROF.270       ,210 ,270 ,lat_esq_tandembox_alta.3ds       ,lat_dir_tandembox_alta.3ds       ,48 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,199 ,7   ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-4   ,9.5 , , ,15 ,20 , ,GV-008_EA270
      GV-008_EA350  ,TANDEMBOX EXTERNA ALTA PROF.350       ,210 ,350 ,lat_esq_tandembox_alta.3ds       ,lat_dir_tandembox_alta.3ds       ,48 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,199 ,7   ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-4   ,9.5 , , ,15 ,20 , ,GV-008_EA350
      GV-008_EB270  ,TANDEMBOX EXTERNA BAIXA PROF.270      ,91  ,270 ,lat_esq_tandembox_baixa.3ds      ,lat_dir_tandembox_baixa.3ds      ,48 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,84  ,7   ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-4   ,9.5 , , ,15 ,20 , ,GV-008_EB270
      GV-008_EB350  ,TANDEMBOX EXTERNA BAIXA PROF.350      ,91  ,350 ,lat_esq_tandembox_baixa.3ds      ,lat_dir_tandembox_baixa.3ds      ,48 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,84  ,7   ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-4   ,9.5 , , ,15 ,20 , ,GV-008_EB350
      GV-008_EX270  ,TANDEMBOX EXTERNA EXTRA ALTA PROF.270 ,337 ,270 ,lat_esq_tandembox_extra_alta.3ds ,lat_dir_tandembox_extra_alta.3ds ,48 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,330 ,7   ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-4   ,9.5 , , ,15 ,20 , ,GV-008_EX270
      GV-008_EX350  ,TANDEMBOX EXTERNA EXTRA ALTA PROF.350 ,337 ,350 ,lat_esq_tandembox_extra_alta.3ds ,lat_dir_tandembox_extra_alta.3ds ,48 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,330 ,7   ,15 ,15 , , ,    ,    ,    ,0 ,9999 ,0 ,9999 , , , , ,   ,-4   ,9.5 , , ,15 ,20 , ,GV-008_EX350
      GV-008_IA270  ,TANDEMBOX INTERNA ALTA PROF.270       ,210 ,270 ,lat_esq_tandembox_alta.3ds       ,lat_dir_tandembox_alta.3ds       ,48 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,199 ,7   ,15 ,15 , , ,225 ,0   ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,-4   ,9.5 , , ,15 ,20 , ,GV-008_IA270
      GV-008_IA350  ,TANDEMBOX INTERNA ALTA PROF.350       ,210 ,350 ,lat_esq_tandembox_alta.3ds       ,lat_dir_tandembox_alta.3ds       ,48 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,199 ,7   ,15 ,15 , , ,225 ,0   ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,-4   ,9.5 , , ,15 ,20 , ,GV-008_IA350
      GV-008_IB270  ,TANDEMBOX INTERNA BAIXA PROF.270      ,91  ,270 ,lat_esq_tandembox_baixa.3ds      ,lat_dir_tandembox_baixa.3ds      ,48 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,84  ,7   ,15 ,15 , , ,98  ,0   ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,-4   ,9.5 , , ,15 ,20 , ,GV-008_IB270
      GV-008_IB350  ,TANDEMBOX INTERNA BAIXA PROF.350      ,91  ,350 ,lat_esq_tandembox_baixa.3ds      ,lat_dir_tandembox_baixa.3ds      ,48 ,$(_corblum:3) ,31.5 ,24 ,24 ,37.5 ,84  ,7   ,15 ,15 , , ,98  ,0   ,1.5 ,0 ,9999 ,0 ,9999 , , , , ,15 ,-4   ,9.5 , , ,15 ,20 , ,GV-008_IB350
   }
}
